,,,,,,,,,,,,Temp(F),mV
0,=(A20-D20)/(E20-D20)*(G20-F20)+F20,"=COUNTIF($N$2:$N$25400,""<""&A20)","=INDIRECT(ADDRESS(C20+1,14))","=INDIRECT(ADDRESS(C20+2,14))","=INDIRECT(ADDRESS(C20+1,13))","=INDIRECT(ADDRESS(C20+2,13))",,,,,,-436,-4.336
0,=(A21-D21)/(E21-D21)*(G21-F21)+F21,"=COUNTIF($N$2:$N$25400,""<""&A21)","=INDIRECT(ADDRESS(C21+1,14))","=INDIRECT(ADDRESS(C21+2,14))","=INDIRECT(ADDRESS(C21+1,13))","=INDIRECT(ADDRESS(C21+2,13))",,,,,,-435,-4.335
0,=(A22-D22)/(E22-D22)*(G22-F22)+F22,"=COUNTIF($N$2:$N$25400,""<""&A22)","=INDIRECT(ADDRESS(C22+1,14))","=INDIRECT(ADDRESS(C22+2,14))","=INDIRECT(ADDRESS(C22+1,13))","=INDIRECT(ADDRESS(C22+2,13))",,,,,,-434,-4.334
0,=(A23-D23)/(E23-D23)*(G23-F23)+F23,"=COUNTIF($N$2:$N$25400,""<""&A23)","=INDIRECT(ADDRESS(C23+1,14))","=INDIRECT(ADDRESS(C23+2,14))","=INDIRECT(ADDRESS(C23+1,13))","=INDIRECT(ADDRESS(C23+2,13))",,,,,,-433,-4.333
0,=(A24-D24)/(E24-D24)*(G24-F24)+F24,"=COUNTIF($N$2:$N$25400,""<""&A24)","=INDIRECT(ADDRESS(C24+1,14))","=INDIRECT(ADDRESS(C24+2,14))","=INDIRECT(ADDRESS(C24+1,13))","=INDIRECT(ADDRESS(C24+2,13))",,,,,,-432,-4.332
0,=(A25-D25)/(E25-D25)*(G25-F25)+F25,"=COUNTIF($N$2:$N$25400,""<""&A25)","=INDIRECT(ADDRESS(C25+1,14))","=INDIRECT(ADDRESS(C25+2,14))","=INDIRECT(ADDRESS(C25+1,13))","=INDIRECT(ADDRESS(C25+2,13))",,,,,,-431,-4.331
0,=(A26-D26)/(E26-D26)*(G26-F26)+F26,"=COUNTIF($N$2:$N$25400,""<""&A26)","=INDIRECT(ADDRESS(C26+1,14))","=INDIRECT(ADDRESS(C26+2,14))","=INDIRECT(ADDRESS(C26+1,13))","=INDIRECT(ADDRESS(C26+2,13))",,,,,,-430,-4.33
0,=(A27-D27)/(E27-D27)*(G27-F27)+F27,"=COUNTIF($N$2:$N$25400,""<""&A27)","=INDIRECT(ADDRESS(C27+1,14))","=INDIRECT(ADDRESS(C27+2,14))","=INDIRECT(ADDRESS(C27+1,13))","=INDIRECT(ADDRESS(C27+2,13))",,,,,,-429,-4.329
0,=(A28-D28)/(E28-D28)*(G28-F28)+F28,"=COUNTIF($N$2:$N$25400,""<""&A28)","=INDIRECT(ADDRESS(C28+1,14))","=INDIRECT(ADDRESS(C28+2,14))","=INDIRECT(ADDRESS(C28+1,13))","=INDIRECT(ADDRESS(C28+2,13))",,,,,,-428,-4.327
0,=(A29-D29)/(E29-D29)*(G29-F29)+F29,"=COUNTIF($N$2:$N$25400,""<""&A29)","=INDIRECT(ADDRESS(C29+1,14))","=INDIRECT(ADDRESS(C29+2,14))","=INDIRECT(ADDRESS(C29+1,13))","=INDIRECT(ADDRESS(C29+2,13))",,,,,,-427,-4.326
0,=(A30-D30)/(E30-D30)*(G30-F30)+F30,"=COUNTIF($N$2:$N$25400,""<""&A30)","=INDIRECT(ADDRESS(C30+1,14))","=INDIRECT(ADDRESS(C30+2,14))","=INDIRECT(ADDRESS(C30+1,13))","=INDIRECT(ADDRESS(C30+2,13))",,,,,,-426,-4.325
0,=(A31-D31)/(E31-D31)*(G31-F31)+F31,"=COUNTIF($N$2:$N$25400,""<""&A31)","=INDIRECT(ADDRESS(C31+1,14))","=INDIRECT(ADDRESS(C31+2,14))","=INDIRECT(ADDRESS(C31+1,13))","=INDIRECT(ADDRESS(C31+2,13))",,,,,,-425,-4.324
0,=(A32-D32)/(E32-D32)*(G32-F32)+F32,"=COUNTIF($N$2:$N$25400,""<""&A32)","=INDIRECT(ADDRESS(C32+1,14))","=INDIRECT(ADDRESS(C32+2,14))","=INDIRECT(ADDRESS(C32+1,13))","=INDIRECT(ADDRESS(C32+2,13))",,,,,,-424,-4.322
=formulas!$D110,=(A33-D33)/(E33-D33)*(G33-F33)+F33,"=COUNTIF($N$2:$N$25400,""<""&A33)","=INDIRECT(ADDRESS(C33+1,14))","=INDIRECT(ADDRESS(C33+2,14))","=INDIRECT(ADDRESS(C33+1,13))","=INDIRECT(ADDRESS(C33+2,13))",,,,,,-423,-4.321
=formulas!$D110,=(A34-D34)/(E34-D34)*(G34-F34)+F34,"=COUNTIF($N$2:$N$25400,""<""&A34)","=INDIRECT(ADDRESS(C34+1,14))","=INDIRECT(ADDRESS(C34+2,14))","=INDIRECT(ADDRESS(C34+1,13))","=INDIRECT(ADDRESS(C34+2,13))",,,,,,-422,-4.319
=formulas!$D110,=(A35-D35)/(E35-D35)*(G35-F35)+F35,"=COUNTIF($N$2:$N$25400,""<""&A35)","=INDIRECT(ADDRESS(C35+1,14))","=INDIRECT(ADDRESS(C35+2,14))","=INDIRECT(ADDRESS(C35+1,13))","=INDIRECT(ADDRESS(C35+2,13))",,,,,,-421,-4.318
0,=(A36-D36)/(E36-D36)*(G36-F36)+F36,"=COUNTIF($N$2:$N$25400,""<""&A36)","=INDIRECT(ADDRESS(C36+1,14))","=INDIRECT(ADDRESS(C36+2,14))","=INDIRECT(ADDRESS(C36+1,13))","=INDIRECT(ADDRESS(C36+2,13))",,,,,,-420,-4.316
0,=(A37-D37)/(E37-D37)*(G37-F37)+F37,"=COUNTIF($N$2:$N$25400,""<""&A37)","=INDIRECT(ADDRESS(C37+1,14))","=INDIRECT(ADDRESS(C37+2,14))","=INDIRECT(ADDRESS(C37+1,13))","=INDIRECT(ADDRESS(C37+2,13))",,,,,,-419,-4.315
0,=(A38-D38)/(E38-D38)*(G38-F38)+F38,"=COUNTIF($N$2:$N$25400,""<""&A38)","=INDIRECT(ADDRESS(C38+1,14))","=INDIRECT(ADDRESS(C38+2,14))","=INDIRECT(ADDRESS(C38+1,13))","=INDIRECT(ADDRESS(C38+2,13))",,,,,,-418,-4.313
0,=(A39-D39)/(E39-D39)*(G39-F39)+F39,"=COUNTIF($N$2:$N$25400,""<""&A39)","=INDIRECT(ADDRESS(C39+1,14))","=INDIRECT(ADDRESS(C39+2,14))","=INDIRECT(ADDRESS(C39+1,13))","=INDIRECT(ADDRESS(C39+2,13))",,,,,,-417,-4.312
0,=(A40-D40)/(E40-D40)*(G40-F40)+F40,"=COUNTIF($N$2:$N$25400,""<""&A40)","=INDIRECT(ADDRESS(C40+1,14))","=INDIRECT(ADDRESS(C40+2,14))","=INDIRECT(ADDRESS(C40+1,13))","=INDIRECT(ADDRESS(C40+2,13))",,,,,,-416,-4.31
0,=(A41-D41)/(E41-D41)*(G41-F41)+F41,"=COUNTIF($N$2:$N$25400,""<""&A41)","=INDIRECT(ADDRESS(C41+1,14))","=INDIRECT(ADDRESS(C41+2,14))","=INDIRECT(ADDRESS(C41+1,13))","=INDIRECT(ADDRESS(C41+2,13))",,,,,,-415,-4.308
0,=(A42-D42)/(E42-D42)*(G42-F42)+F42,"=COUNTIF($N$2:$N$25400,""<""&A42)","=INDIRECT(ADDRESS(C42+1,14))","=INDIRECT(ADDRESS(C42+2,14))","=INDIRECT(ADDRESS(C42+1,13))","=INDIRECT(ADDRESS(C42+2,13))",,,,,,-414,-4.306
0,=(A43-D43)/(E43-D43)*(G43-F43)+F43,"=COUNTIF($N$2:$N$25400,""<""&A43)","=INDIRECT(ADDRESS(C43+1,14))","=INDIRECT(ADDRESS(C43+2,14))","=INDIRECT(ADDRESS(C43+1,13))","=INDIRECT(ADDRESS(C43+2,13))",,,,,,-413,-4.305
0,=(A44-D44)/(E44-D44)*(G44-F44)+F44,"=COUNTIF($N$2:$N$25400,""<""&A44)","=INDIRECT(ADDRESS(C44+1,14))","=INDIRECT(ADDRESS(C44+2,14))","=INDIRECT(ADDRESS(C44+1,13))","=INDIRECT(ADDRESS(C44+2,13))",,,,,,-412,-4.303
=formulas!$D122,=(A45-D45)/(E45-D45)*(G45-F45)+F45,"=COUNTIF($N$2:$N$25400,""<""&A45)","=INDIRECT(ADDRESS(C45+1,14))","=INDIRECT(ADDRESS(C45+2,14))","=INDIRECT(ADDRESS(C45+1,13))","=INDIRECT(ADDRESS(C45+2,13))",,,,,,-411,-4.301
=formulas!$D122,=(A46-D46)/(E46-D46)*(G46-F46)+F46,"=COUNTIF($N$2:$N$25400,""<""&A46)","=INDIRECT(ADDRESS(C46+1,14))","=INDIRECT(ADDRESS(C46+2,14))","=INDIRECT(ADDRESS(C46+1,13))","=INDIRECT(ADDRESS(C46+2,13))",,,,,,-410,-4.299
=formulas!$D122,=(A47-D47)/(E47-D47)*(G47-F47)+F47,"=COUNTIF($N$2:$N$25400,""<""&A47)","=INDIRECT(ADDRESS(C47+1,14))","=INDIRECT(ADDRESS(C47+2,14))","=INDIRECT(ADDRESS(C47+1,13))","=INDIRECT(ADDRESS(C47+2,13))",,,,,,-409,-4.297
0,=(A48-D48)/(E48-D48)*(G48-F48)+F48,"=COUNTIF($N$2:$N$25400,""<""&A48)","=INDIRECT(ADDRESS(C48+1,14))","=INDIRECT(ADDRESS(C48+2,14))","=INDIRECT(ADDRESS(C48+1,13))","=INDIRECT(ADDRESS(C48+2,13))",,,,,,-408,-4.295
0,=(A49-D49)/(E49-D49)*(G49-F49)+F49,"=COUNTIF($N$2:$N$25400,""<""&A49)","=INDIRECT(ADDRESS(C49+1,14))","=INDIRECT(ADDRESS(C49+2,14))","=INDIRECT(ADDRESS(C49+1,13))","=INDIRECT(ADDRESS(C49+2,13))",,,,,,-407,-4.293
0,=(A50-D50)/(E50-D50)*(G50-F50)+F50,"=COUNTIF($N$2:$N$25400,""<""&A50)","=INDIRECT(ADDRESS(C50+1,14))","=INDIRECT(ADDRESS(C50+2,14))","=INDIRECT(ADDRESS(C50+1,13))","=INDIRECT(ADDRESS(C50+2,13))",,,,,,-406,-4.291
0,=(A51-D51)/(E51-D51)*(G51-F51)+F51,"=COUNTIF($N$2:$N$25400,""<""&A51)","=INDIRECT(ADDRESS(C51+1,14))","=INDIRECT(ADDRESS(C51+2,14))","=INDIRECT(ADDRESS(C51+1,13))","=INDIRECT(ADDRESS(C51+2,13))",,,,,,-405,-4.288
0,=(A52-D52)/(E52-D52)*(G52-F52)+F52,"=COUNTIF($N$2:$N$25400,""<""&A52)","=INDIRECT(ADDRESS(C52+1,14))","=INDIRECT(ADDRESS(C52+2,14))","=INDIRECT(ADDRESS(C52+1,13))","=INDIRECT(ADDRESS(C52+2,13))",,,,,,-404,-4.286
0,=(A53-D53)/(E53-D53)*(G53-F53)+F53,"=COUNTIF($N$2:$N$25400,""<""&A53)","=INDIRECT(ADDRESS(C53+1,14))","=INDIRECT(ADDRESS(C53+2,14))","=INDIRECT(ADDRESS(C53+1,13))","=INDIRECT(ADDRESS(C53+2,13))",,,,,,-403,-4.284
0,=(A54-D54)/(E54-D54)*(G54-F54)+F54,"=COUNTIF($N$2:$N$25400,""<""&A54)","=INDIRECT(ADDRESS(C54+1,14))","=INDIRECT(ADDRESS(C54+2,14))","=INDIRECT(ADDRESS(C54+1,13))","=INDIRECT(ADDRESS(C54+2,13))",,,,,,-402,-4.282
0,=(A55-D55)/(E55-D55)*(G55-F55)+F55,"=COUNTIF($N$2:$N$25400,""<""&A55)","=INDIRECT(ADDRESS(C55+1,14))","=INDIRECT(ADDRESS(C55+2,14))","=INDIRECT(ADDRESS(C55+1,13))","=INDIRECT(ADDRESS(C55+2,13))",,,,,,-401,-4.279
0,=(A56-D56)/(E56-D56)*(G56-F56)+F56,"=COUNTIF($N$2:$N$25400,""<""&A56)","=INDIRECT(ADDRESS(C56+1,14))","=INDIRECT(ADDRESS(C56+2,14))","=INDIRECT(ADDRESS(C56+1,13))","=INDIRECT(ADDRESS(C56+2,13))",,,,,,-400,-4.277
=formulas!$D134,=(A57-D57)/(E57-D57)*(G57-F57)+F57,"=COUNTIF($N$2:$N$25400,""<""&A57)","=INDIRECT(ADDRESS(C57+1,14))","=INDIRECT(ADDRESS(C57+2,14))","=INDIRECT(ADDRESS(C57+1,13))","=INDIRECT(ADDRESS(C57+2,13))",,,,,,-399,-4.275
=formulas!$D134,=(A58-D58)/(E58-D58)*(G58-F58)+F58,"=COUNTIF($N$2:$N$25400,""<""&A58)","=INDIRECT(ADDRESS(C58+1,14))","=INDIRECT(ADDRESS(C58+2,14))","=INDIRECT(ADDRESS(C58+1,13))","=INDIRECT(ADDRESS(C58+2,13))",,,,,,-398,-4.272
=formulas!$D134,=(A59-D59)/(E59-D59)*(G59-F59)+F59,"=COUNTIF($N$2:$N$25400,""<""&A59)","=INDIRECT(ADDRESS(C59+1,14))","=INDIRECT(ADDRESS(C59+2,14))","=INDIRECT(ADDRESS(C59+1,13))","=INDIRECT(ADDRESS(C59+2,13))",,,,,,-397,-4.27
0,=(A60-D60)/(E60-D60)*(G60-F60)+F60,"=COUNTIF($N$2:$N$25400,""<""&A60)","=INDIRECT(ADDRESS(C60+1,14))","=INDIRECT(ADDRESS(C60+2,14))","=INDIRECT(ADDRESS(C60+1,13))","=INDIRECT(ADDRESS(C60+2,13))",,,,,,-396,-4.267
0,=(A61-D61)/(E61-D61)*(G61-F61)+F61,"=COUNTIF($N$2:$N$25400,""<""&A61)","=INDIRECT(ADDRESS(C61+1,14))","=INDIRECT(ADDRESS(C61+2,14))","=INDIRECT(ADDRESS(C61+1,13))","=INDIRECT(ADDRESS(C61+2,13))",,,,,,-395,-4.264
0,=(A62-D62)/(E62-D62)*(G62-F62)+F62,"=COUNTIF($N$2:$N$25400,""<""&A62)","=INDIRECT(ADDRESS(C62+1,14))","=INDIRECT(ADDRESS(C62+2,14))","=INDIRECT(ADDRESS(C62+1,13))","=INDIRECT(ADDRESS(C62+2,13))",,,,,,-394,-4.262
0,=(A63-D63)/(E63-D63)*(G63-F63)+F63,"=COUNTIF($N$2:$N$25400,""<""&A63)","=INDIRECT(ADDRESS(C63+1,14))","=INDIRECT(ADDRESS(C63+2,14))","=INDIRECT(ADDRESS(C63+1,13))","=INDIRECT(ADDRESS(C63+2,13))",,,,,,-393,-4.259
0,=(A64-D64)/(E64-D64)*(G64-F64)+F64,"=COUNTIF($N$2:$N$25400,""<""&A64)","=INDIRECT(ADDRESS(C64+1,14))","=INDIRECT(ADDRESS(C64+2,14))","=INDIRECT(ADDRESS(C64+1,13))","=INDIRECT(ADDRESS(C64+2,13))",,,,,,-392,-4.256
0,=(A65-D65)/(E65-D65)*(G65-F65)+F65,"=COUNTIF($N$2:$N$25400,""<""&A65)","=INDIRECT(ADDRESS(C65+1,14))","=INDIRECT(ADDRESS(C65+2,14))","=INDIRECT(ADDRESS(C65+1,13))","=INDIRECT(ADDRESS(C65+2,13))",,,,,,-391,-4.254
0,=(A66-D66)/(E66-D66)*(G66-F66)+F66,"=COUNTIF($N$2:$N$25400,""<""&A66)","=INDIRECT(ADDRESS(C66+1,14))","=INDIRECT(ADDRESS(C66+2,14))","=INDIRECT(ADDRESS(C66+1,13))","=INDIRECT(ADDRESS(C66+2,13))",,,,,,-390,-4.251
0,=(A67-D67)/(E67-D67)*(G67-F67)+F67,"=COUNTIF($N$2:$N$25400,""<""&A67)","=INDIRECT(ADDRESS(C67+1,14))","=INDIRECT(ADDRESS(C67+2,14))","=INDIRECT(ADDRESS(C67+1,13))","=INDIRECT(ADDRESS(C67+2,13))",,,,,,-389,-4.248
0,=(A68-D68)/(E68-D68)*(G68-F68)+F68,"=COUNTIF($N$2:$N$25400,""<""&A68)","=INDIRECT(ADDRESS(C68+1,14))","=INDIRECT(ADDRESS(C68+2,14))","=INDIRECT(ADDRESS(C68+1,13))","=INDIRECT(ADDRESS(C68+2,13))",,,,,,-388,-4.245
=formulas!$D146,=(A69-D69)/(E69-D69)*(G69-F69)+F69,"=COUNTIF($N$2:$N$25400,""<""&A69)","=INDIRECT(ADDRESS(C69+1,14))","=INDIRECT(ADDRESS(C69+2,14))","=INDIRECT(ADDRESS(C69+1,13))","=INDIRECT(ADDRESS(C69+2,13))",,,,,,-387,-4.242
=formulas!$D146,=(A70-D70)/(E70-D70)*(G70-F70)+F70,"=COUNTIF($N$2:$N$25400,""<""&A70)","=INDIRECT(ADDRESS(C70+1,14))","=INDIRECT(ADDRESS(C70+2,14))","=INDIRECT(ADDRESS(C70+1,13))","=INDIRECT(ADDRESS(C70+2,13))",,,,,,-386,-4.239
=formulas!$D146,=(A71-D71)/(E71-D71)*(G71-F71)+F71,"=COUNTIF($N$2:$N$25400,""<""&A71)","=INDIRECT(ADDRESS(C71+1,14))","=INDIRECT(ADDRESS(C71+2,14))","=INDIRECT(ADDRESS(C71+1,13))","=INDIRECT(ADDRESS(C71+2,13))",,,,,,-385,-4.236
0,=(A72-D72)/(E72-D72)*(G72-F72)+F72,"=COUNTIF($N$2:$N$25400,""<""&A72)","=INDIRECT(ADDRESS(C72+1,14))","=INDIRECT(ADDRESS(C72+2,14))","=INDIRECT(ADDRESS(C72+1,13))","=INDIRECT(ADDRESS(C72+2,13))",,,,,,-384,-4.233
0,=(A73-D73)/(E73-D73)*(G73-F73)+F73,"=COUNTIF($N$2:$N$25400,""<""&A73)","=INDIRECT(ADDRESS(C73+1,14))","=INDIRECT(ADDRESS(C73+2,14))","=INDIRECT(ADDRESS(C73+1,13))","=INDIRECT(ADDRESS(C73+2,13))",,,,,,-383,-4.23
0,=(A74-D74)/(E74-D74)*(G74-F74)+F74,"=COUNTIF($N$2:$N$25400,""<""&A74)","=INDIRECT(ADDRESS(C74+1,14))","=INDIRECT(ADDRESS(C74+2,14))","=INDIRECT(ADDRESS(C74+1,13))","=INDIRECT(ADDRESS(C74+2,13))",,,,,,-382,-4.226
0,=(A75-D75)/(E75-D75)*(G75-F75)+F75,"=COUNTIF($N$2:$N$25400,""<""&A75)","=INDIRECT(ADDRESS(C75+1,14))","=INDIRECT(ADDRESS(C75+2,14))","=INDIRECT(ADDRESS(C75+1,13))","=INDIRECT(ADDRESS(C75+2,13))",,,,,,-381,-4.223
0,=(A76-D76)/(E76-D76)*(G76-F76)+F76,"=COUNTIF($N$2:$N$25400,""<""&A76)","=INDIRECT(ADDRESS(C76+1,14))","=INDIRECT(ADDRESS(C76+2,14))","=INDIRECT(ADDRESS(C76+1,13))","=INDIRECT(ADDRESS(C76+2,13))",,,,,,-380,-4.22
0,=(A77-D77)/(E77-D77)*(G77-F77)+F77,"=COUNTIF($N$2:$N$25400,""<""&A77)","=INDIRECT(ADDRESS(C77+1,14))","=INDIRECT(ADDRESS(C77+2,14))","=INDIRECT(ADDRESS(C77+1,13))","=INDIRECT(ADDRESS(C77+2,13))",,,,,,-379,-4.217
0,=(A78-D78)/(E78-D78)*(G78-F78)+F78,"=COUNTIF($N$2:$N$25400,""<""&A78)","=INDIRECT(ADDRESS(C78+1,14))","=INDIRECT(ADDRESS(C78+2,14))","=INDIRECT(ADDRESS(C78+1,13))","=INDIRECT(ADDRESS(C78+2,13))",,,,,,-378,-4.213
0,=(A79-D79)/(E79-D79)*(G79-F79)+F79,"=COUNTIF($N$2:$N$25400,""<""&A79)","=INDIRECT(ADDRESS(C79+1,14))","=INDIRECT(ADDRESS(C79+2,14))","=INDIRECT(ADDRESS(C79+1,13))","=INDIRECT(ADDRESS(C79+2,13))",,,,,,-377,-4.21
0,=(A80-D80)/(E80-D80)*(G80-F80)+F80,"=COUNTIF($N$2:$N$25400,""<""&A80)","=INDIRECT(ADDRESS(C80+1,14))","=INDIRECT(ADDRESS(C80+2,14))","=INDIRECT(ADDRESS(C80+1,13))","=INDIRECT(ADDRESS(C80+2,13))",,,,,,-376,-4.206
=formulas!$D158,=(A81-D81)/(E81-D81)*(G81-F81)+F81,"=COUNTIF($N$2:$N$25400,""<""&A81)","=INDIRECT(ADDRESS(C81+1,14))","=INDIRECT(ADDRESS(C81+2,14))","=INDIRECT(ADDRESS(C81+1,13))","=INDIRECT(ADDRESS(C81+2,13))",,,,,,-375,-4.203
=formulas!$D158,=(A82-D82)/(E82-D82)*(G82-F82)+F82,"=COUNTIF($N$2:$N$25400,""<""&A82)","=INDIRECT(ADDRESS(C82+1,14))","=INDIRECT(ADDRESS(C82+2,14))","=INDIRECT(ADDRESS(C82+1,13))","=INDIRECT(ADDRESS(C82+2,13))",,,,,,-374,-4.199
=formulas!$D158,=(A83-D83)/(E83-D83)*(G83-F83)+F83,"=COUNTIF($N$2:$N$25400,""<""&A83)","=INDIRECT(ADDRESS(C83+1,14))","=INDIRECT(ADDRESS(C83+2,14))","=INDIRECT(ADDRESS(C83+1,13))","=INDIRECT(ADDRESS(C83+2,13))",,,,,,-373,-4.196
0,=(A84-D84)/(E84-D84)*(G84-F84)+F84,"=COUNTIF($N$2:$N$25400,""<""&A84)","=INDIRECT(ADDRESS(C84+1,14))","=INDIRECT(ADDRESS(C84+2,14))","=INDIRECT(ADDRESS(C84+1,13))","=INDIRECT(ADDRESS(C84+2,13))",,,,,,-372,-4.192
0,=(A85-D85)/(E85-D85)*(G85-F85)+F85,"=COUNTIF($N$2:$N$25400,""<""&A85)","=INDIRECT(ADDRESS(C85+1,14))","=INDIRECT(ADDRESS(C85+2,14))","=INDIRECT(ADDRESS(C85+1,13))","=INDIRECT(ADDRESS(C85+2,13))",,,,,,-371,-4.189
0,=(A86-D86)/(E86-D86)*(G86-F86)+F86,"=COUNTIF($N$2:$N$25400,""<""&A86)","=INDIRECT(ADDRESS(C86+1,14))","=INDIRECT(ADDRESS(C86+2,14))","=INDIRECT(ADDRESS(C86+1,13))","=INDIRECT(ADDRESS(C86+2,13))",,,,,,-370,-4.185
